,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.089382,53.121653,1000051,T,Jednorodzinna,zielone,worek,,,
23.089382,53.121653,1000051,T,Jednorodzinna,zmieszane,120,18014398708609741,4000000BDE72CD,4000000BDE72CD
23.089382,53.121653,1000052,T,Jednorodzinna,SUCHE,worek,,,
23.089382,53.121653,1000052,T,Jednorodzinna,gabaryty,kontener,,,
23.089382,53.121653,1000052,T,Jednorodzinna,popiół,worek,,,
23.089382,53.121653,1000052,T,Jednorodzinna,szkło,worek,,,
23.089382,53.121653,1000052,T,Jednorodzinna,zielone,worek,,,
23.089382,53.121653,1000052,T,Jednorodzinna,zmieszane,120,18014398708607371,4000000BDE698B,4000000BDE698B
23.091236,53.126871,1000053,T,Jednorodzinna,SUCHE,worek,,,
23.091236,53.126871,1000053,T,Jednorodzinna,gabaryty,kontener,,,
23.091236,53.126871,1000053,T,Jednorodzinna,popiół,worek,,,
23.091236,53.126871,1000053,T,Jednorodzinna,szkło,worek,,,
23.091236,53.126871,1000053,T,Jednorodzinna,zielone,worek,,,
23.091236,53.126871,1000053,T,Jednorodzinna,zmieszane,120,18014398708607268,4000000BDE6924,4000000BDE6924
23.092507,53.125538,1000054,T,Jednorodzinna,SUCHE,worek,,,
23.092507,53.125538,1000054,T,Jednorodzinna,gabaryty,kontener,,,
23.092507,53.125538,1000054,T,Jednorodzinna,popiół,worek,,,
23.092507,53.125538,1000054,T,Jednorodzinna,szkło,worek,,,
23.092507,53.125538,1000054,T,Jednorodzinna,zielone,worek,,,
23.092507,53.125538,1000054,T,Jednorodzinna,zmieszane,120,18014398708609498,4000000BDE71DA,4000000BDE71DA
23.092507,53.125538,1000055,T,Jednorodzinna,SUCHE,worek,,,
23.092507,53.125538,1000055,T,Jednorodzinna,gabaryty,kontener,,,
23.092507,53.125538,1000055,T,Jednorodzinna,popiół,worek,,,
23.092507,53.125538,1000055,T,Jednorodzinna,szkło,worek,,,
23.092507,53.125538,1000055,T,Jednorodzinna,zielone,worek,,,
23.092507,53.125538,1000055,T,Jednorodzinna,zmieszane,120,18014398708609743,4000000BDE72CF,4000000BDE72CF
23.092551,53.125507,1000056,T,Jednorodzinna,SUCHE,worek,,,
23.092551,53.125507,1000056,T,Jednorodzinna,gabaryty,kontener,,,
23.092551,53.125507,1000056,T,Jednorodzinna,popiół,worek,,,
